Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Marshall County, MS",28093,11,35294,Unreliable,Unreliable
,"Rankin County, MS",28121,21,155271,13.5,13
,"Boone County, MO",29019,30,180463,16.6,17.5
,"Cape Girardeau County, MO",29031,19,78871,Unreliable,Unreliable
,"Cass County, MO",29037,32,105780,30.3,28.7
,"Christian County, MO",29043,22,88595,24.8,25.5
,"Clay County, MO",29047,59,249948,23.6,22.3
,"Cole County, MO",29051,11,76745,Unreliable,Unreliable
,"Franklin County, MO",29071,20,103967,19.2,19.8
,"Greene County, MO",29077,65,293086,22.2,22
,"Howell County, MO",29091,12,40117,Unreliable,Unreliable
,"Jackson County, MO",29095,141,703011,20.1,20.3
,"Jasper County, MO",29097,20,121328,16.5,16.1
,"Jefferson County, MO",29099,55,225081,24.4,24.2
,"Lincoln County, MO",29113,13,59013,Unreliable,Unreliable
,"Newton County, MO",29145,14,58236,Unreliable,Unreliable
,"Phelps County, MO",29161,11,44573,Unreliable,Unreliable
,"Platte County, MO",29165,22,104418,21.1,21.5
,"St. Charles County, MO",29183,55,402022,13.7,13.2
,"St. Francois County, MO",29187,10,67215,Unreliable,Unreliable
,"St. Louis County, MO",29189,142,994205,14.3,13.5
,"St. Louis city, MO",29510,47,300576,15.6,15.2
,"Cascade County, MT",30013,23,81366,28.3,26.4
,"Flathead County, MT",30029,28,103806,27,26.1
,"Gallatin County, MT",30031,26,114434,22.7,22.6
,"Missoula County, MT",30063,22,119600,18.4,16.4
,"Ravalli County, MT",30081,14,43806,Unreliable,Unreliable
,"Silver Bow County, MT",30093,14,34915,Unreliable,Unreliable
,"Yellowstone County, MT",30111,54,161300,33.5,31.2
,"Buffalo County, NE",31019,12,49659,Unreliable,Unreliable
,"Douglas County, NE",31055,97,571327,17,17
,"Lancaster County, NE",31109,39,319090,12.2,12.4
,"Madison County, NE",31119,10,35099,Unreliable,Unreliable
